,reason_1,reason_2,reason_3,reason_4,month_value,transportation_expense,age,body_mass_index,education,children,pets,excessive_absenteeism
0,0,0,0,1,7,289,33,30,0,2,1,1
1,0,0,0,0,7,118,50,31,0,1,0,0
2,0,0,0,1,7,179,38,31,0,0,0,0
3,1,0,0,0,7,279,39,24,0,2,0,1
4,0,0,0,1,7,289,33,30,0,2,1,0
5,0,0,0,1,7,179,38,31,0,0,0,0
6,0,0,0,1,7,361,28,27,0,1,4,1
7,0,0,0,1,7,260,36,23,0,4,0,1
8,0,0,1,0,7,155,34,25,0,2,0,1
9,0,0,0,1,7,235,37,29,1,1,1,1
10,1,0,0,0,7,260,36,23,0,4,0,1
11,1,0,0,0,7,260,36,23,0,4,0,1
12,1,0,0,0,7,260,36,23,0,4,0,1
13,1,0,0,0,7,179,38,31,0,0,0,0
14,0,0,0,1,7,179,38,31,0,0,0,1
15,1,0,0,0,7,246,41,23,0,0,0,1
16,0,0,0,1,7,179,38,31,0,0,0,0
17,0,0,1,0,7,179,38,31,0,0,0,1
18,1,0,0,0,7,189,33,25,0,2,2,1
19,0,0,0,1,8,248,47,32,0,2,1,0
20,1,0,0,0,8,330,28,25,1,0,0,1
21,1,0,0,0,8,179,38,31,0,0,0,0
22,1,0,0,0,8,361,28,27,0,1,4,1
23,0,0,0,1,8,260,36,23,0,4,0,1
24,0,0,1,0,8,289,33,30,0,2,1,1
25,0,0,0,1,8,361,28,27,0,1,4,1
26,0,0,0,1,8,289,33,30,0,2,1,0
27,0,0,0,1,8,157,29,22,0,0,0,1
28,0,0,1,0,8,289,33,30,0,2,1,1
29,0,0,0,1,8,179,38,31,0,0,0,0
30,0,0,1,0,8,179,38,31,0,0,0,1
31,0,0,1,0,8,235,48,33,0,1,5,1
32,0,0,0,1,8,235,37,29,1,1,1,1
33,0,0,1,0,8,235,48,33,0,1,5,1
34,0,0,0,1,8,179,38,31,0,0,0,0
35,0,0,0,1,8,361,28,27,0,1,4,0
36,0,0,0,1,8,289,33,30,0,2,1,1
37,1,0,0,0,8,291,32,23,0,0,0,1
38,0,0,0,1,8,235,48,33,0,1,5,1
39,0,0,0,1,8,260,36,23,0,4,0,1
40,0,0,0,1,9,184,27,21,0,0,0,0
41,0,0,0,1,9,118,37,28,0,0,0,1
42,0,0,0,1,9,179,38,31,0,0,0,1
43,0,0,1,0,9,235,43,38,0,1,0,1
44,0,0,0,1,9,155,34,25,0,2,0,0
45,0,0,0,1,9,118,37,28,0,0,0,0
46,0,0,0,1,9,179,38,31,0,0,0,0
47,0,0,0,1,9,291,40,25,0,1,1,1
48,0,0,0,1,9,260,36,23,0,4,0,1
49,1,0,0,0,9,291,40,25,0,1,1,1
50,0,0,0,0,9,260,36,23,0,4,0,0
51,0,0,0,0,9,225,28,24,0,1,2,0
52,0,0,0,1,9,225,28,24,0,1,2,0
53,0,0,0,1,9,118,37,28,0,0,0,0
54,0,0,0,0,9,289,33,30,0,2,1,0
55,0,0,0,0,9,118,50,31,0,1,0,0
56,0,0,1,0,9,225,28,24,0,1,2,0
57,0,0,0,1,9,179,38,31,0,0,0,0
58,0,0,0,0,9,369,31,25,0,3,0,0
59,0,0,0,1,9,248,47,32,0,2,1,0
60,0,0,0,1,9,179,38,31,0,0,0,0
61,0,0,0,1,9,260,36,23,0,4,0,1
62,0,0,0,1,10,179,38,31,0,0,0,0
63,0,0,0,1,10,118,37,28,0,0,0,0
64,0,0,0,0,10,118,50,31,0,1,0,0
65,0,0,0,1,10,179,30,19,1,0,0,0
66,0,0,0,1,10,179,38,31,0,0,0,0
67,0,0,0,1,10,225,28,24,0,1,2,0
68,0,0,0,1,10,118,37,28,0,0,0,0
69,0,0,0,1,10,225,28,24,0,1,2,0
70,0,0,0,1,10,248,47,32,0,2,1,0
71,0,0,0,1,10,291,40,25,0,1,1,1
72,0,0,0,1,10,179,38,31,0,0,0,1
73,0,0,0,1,10,225,28,24,0,1,2,0
74,0,0,1,0,10,260,36,23,0,4,0,1
75,1,0,0,0,10,291,40,25,0,1,1,1
76,0,0,0,1,10,225,28,24,0,1,2,0
77,0,0,0,1,10,289,33,30,0,2,1,1
78,0,0,0,1,10,361,28,27,0,1,4,0
79,0,0,0,1,10,260,36,23,0,4,0,0
80,0,0,0,1,11,179,38,31,0,0,0,0
81,0,0,0,1,11,225,28,24,0,1,2,0
82,1,0,0,0,11,179,38,31,0,0,0,1
83,0,0,1,0,11,179,40,22,1,2,0,1
84,0,0,0,1,11,291,40,25,0,1,1,1
85,1,0,0,0,11,155,34,25,0,2,0,1
86,0,0,0,1,11,189,33,25,0,2,2,1
87,1,0,0,0,11,291,40,25,0,1,1,1
88,0,0,0,1,11,225,28,24,0,1,2,0
89,1,0,0,0,11,155,34,25,0,2,0,1
90,0,0,0,1,11,225,28,24,0,1,2,0
91,0,0,1,0,11,179,40,22,1,2,0,1
92,1,0,0,0,11,225,28,24,0,1,2,0
93,0,0,0,1,11,260,36,23,0,4,0,1
94,0,0,0,1,11,248,47,32,0,2,1,0
95,0,0,0,1,11,225,28,24,0,1,2,0
96,1,0,0,0,11,289,33,30,0,2,1,1
97,0,0,0,1,11,291,40,25,0,1,1,0
98,0,0,0,1,12,248,47,32,0,2,1,0
99,0,0,1,0,12,118,37,28,0,0,0,1
100,0,0,0,1,12,118,50,31,0,1,0,0
101,0,0,0,1,12,235,37,29,1,1,1,1
102,0,0,0,1,12,225,28,24,0,1,2,0
103,0,0,0,1,12,260,36,23,0,4,0,1
104,0,0,1,0,12,118,37,28,0,0,0,1
105,0,0,0,1,12,361,28,27,0,1,4,1
106,0,0,0,1,12,225,28,24,0,1,2,0
107,0,0,0,1,12,260,36,23,0,4,0,0
108,0,0,0,1,12,225,28,24,0,1,2,0
109,0,0,0,1,12,361,28,27,0,1,4,1
110,0,0,0,1,12,118,37,28,0,0,0,0
111,0,0,1,0,12,246,41,23,0,0,0,1
112,0,0,0,1,12,225,28,24,0,1,2,0
113,0,0,0,1,1,225,28,24,0,1,2,0
114,0,0,1,0,1,118,37,28,0,0,0,0
